source,contract_id,as_of_date,as_of_ts,snapshot_ts,observation_method,implied_probability,yes_price,no_price,volume,liquidity,open_interest,active,tradable
kalshi,GOVPARTYVT-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.76,0.76,0.24,5154.0,0.0,4243.0,True,True
kalshi,GOVPARTYVT-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.305,0.305,0.695,555.0,0.0,132.0,True,True
kalshi,GOVPARTYVT-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.675,0.675,0.325,482.0,0.0,334.0,True,True
kalshi,GOVPARTYWI-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.73,0.73,0.27,15237.0,0.0,5212.0,True,True
kalshi,GOVPARTYWI-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.255,0.255,0.745,8987.0,0.0,5359.0,True,True
kalshi,GOVPARTYWV-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.105,0.105,0.895,387.0,0.0,369.0,True,True
kalshi,GOVPARTYWV-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.885,0.885,0.115,480.0,0.0,283.0,True,True
kalshi,GOVPARTYWY-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.04,0.04,0.96,2.0,0.0,2.0,True,True
kalshi,GOVPARTYWY-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.945,0.945,0.055,131.0,0.0,121.0,True,True
kalshi,HOUSECA22-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.705,0.705,0.295,9031.0,0.0,2939.0,True,True
kalshi,HOUSECA22-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.285,0.285,0.715,6455.0,0.0,3980.0,True,True
kalshi,HOUSECA27-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.93,0.93,0.07,1372.0,0.0,1233.0,True,True
kalshi,HOUSECA27-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.075,0.075,0.925,343.0,0.0,339.0,True,True
kalshi,HOUSECA3-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.9,0.9,0.1,13780.0,0.0,9332.0,True,True
kalshi,HOUSECA3-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.105,0.105,0.895,2626.0,0.0,1707.0,True,True
kalshi,HOUSECA40-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.235,0.235,0.765,5210.0,0.0,1709.0,True,True
kalshi,HOUSECA40-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.765,0.765,0.235,10465.0,0.0,2426.0,True,True
kalshi,HOUSECA41-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.955,0.955,0.045,5936.0,0.0,2753.0,True,True
kalshi,HOUSECA41-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.04,0.04,0.96,2545.0,0.0,240.0,True,True
kalshi,HOUSECA45-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.835,0.835,0.165,2965.0,0.0,2339.0,True,True
kalshi,HOUSECA45-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.165,0.165,0.835,1686.0,0.0,1305.0,True,True
kalshi,HOUSECA47-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.955,0.955,0.045,2780.0,0.0,2599.0,True,True
kalshi,HOUSECA47-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.045,0.045,0.955,146.0,0.0,145.0,True,True
kalshi,HOUSECA49-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.925,0.925,0.075,12571.0,0.0,8522.0,True,True
kalshi,HOUSECA49-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.065,0.065,0.935,32.0,0.0,32.0,True,True
kalshi,HOUSECA9-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.895,0.895,0.105,2269.0,0.0,1776.0,True,True
kalshi,HOUSECA9-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.105,0.105,0.895,450.0,0.0,257.0,True,True
kalshi,HOUSECO3-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.33,0.33,0.67,4145.0,0.0,3730.0,True,True
kalshi,HOUSECO3-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.675,0.675,0.325,5999.0,0.0,4907.0,True,True
kalshi,HOUSECO8-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.73,0.73,0.27,1643.0,0.0,1326.0,True,True
kalshi,HOUSECO8-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.275,0.275,0.725,123.0,0.0,18.0,True,True
kalshi,HOUSECT5-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.895,0.895,0.105,1584.0,0.0,1226.0,True,True
kalshi,HOUSECT5-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.1,0.1,0.9,489.0,0.0,458.0,True,True
kalshi,HOUSEFL13-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.245,0.245,0.755,893.0,0.0,768.0,True,True
kalshi,HOUSEFL13-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.755,0.755,0.245,1748.0,0.0,1363.0,True,True
kalshi,HOUSEFL23-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.645,0.645,0.355,4932.0,0.0,71.0,True,True
kalshi,HOUSEFL23-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.35,0.35,0.65,2831.0,0.0,106.0,True,True
kalshi,HOUSEIA1-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.655,0.655,0.345,2580.0,0.0,1090.0,True,True
kalshi,HOUSEIA1-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.345,0.345,0.655,776.0,0.0,772.0,True,True
kalshi,HOUSEIA3-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.68,0.68,0.32,4478.0,0.0,2723.0,True,True
kalshi,HOUSEIA3-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.325,0.325,0.675,1008.0,0.0,910.0,True,True
kalshi,HOUSEIL17-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.895,0.895,0.105,1420.0,0.0,1155.0,True,True
